Match,Name,Pos,Inning,Out,Runs,Balls,Fours,Sixes,S.R,Match_ID
United Arab Emirates vs Afghanistan,Alishan Sharafu,7,1,not out ,7,5,1,0,140.00,T20I # 1995
United Arab Emirates vs Afghanistan,Aayan Afzal Khan,8,1,not out ,1,1,0,0,100.00,T20I # 1995
United Arab Emirates vs Afghanistan,Rahmanullah Gurbaz,1,2,c Muhammad Waseem b Zahoor Khan,20,15,3,0,133.33,T20I # 1995
United Arab Emirates vs Afghanistan,Ibrahim Zadran,2,2,not out ,60,51,5,1,117.64,T20I # 1995
United Arab Emirates vs Afghanistan,Gulbadin Naib,3,2,lbw b Zawar Farid,0,6,0,0,0.00,T20I # 1995
United Arab Emirates vs Afghanistan,Afsar Zazai,4,2,c Sharafu b Zahoor Khan,13,19,0,0,68.42,T20I # 1995
United Arab Emirates vs Afghanistan,Najibullah Zadran,5,2,c Zahoor Khan b Akif Raja,1,2,0,0,50.00,T20I # 1995
United Arab Emirates vs Afghanistan,Karim Janat,6,2,not out ,56,22,4,5,254.54,T20I # 1995
Argentina vs Bermuda,Pedro Baron,1,1, b Burgess,15,12,2,1,125.00,T20I # 1996
Argentina vs Bermuda,Ramiro Escobar,2,1,c †Smith b Brangman,0,1,0,0,0.00,T20I # 1996
Argentina vs Bermuda,Alejandro Ferguson,3,1, b Burgess,11,7,1,1,157.14,T20I # 1996
Argentina vs Bermuda,Lautaro Musiani,4,1,c Sabir b Jones,8,14,0,0,57.14,T20I # 1996
Argentina vs Bermuda,Alan	Kirschbaum,5,1,c & b Rawlins,5,21,0,0,23.80,T20I # 1996
Argentina vs Bermuda,Tomas Rossi,6,1, b Rawlins,5,13,0,0,38.46,T20I # 1996
Argentina vs Bermuda,Pedro Arrighi,7,1,st †Smith b Jones,18,22,1,0,81.81,T20I # 1996
Argentina vs Bermuda,Agustin Rivero,8,1,run out (Burgess/Jones),5,10,0,0,50.00,T20I # 1996
Argentina vs Bermuda,Santiago Rossi,9,1,c Burgess b Rawlins,0,2,0,0,0.00,T20I # 1996
Argentina vs Bermuda,Hernan Fennell,10,1,c Richardson b Rawlins,1,2,0,0,50.00,T20I # 1996
Argentina vs Bermuda,Agustin Husain,11,1,not out ,0,0,0,0,-,T20I # 1996
Argentina vs Bermuda,Kamau Leverock,1,2,c & b Fennell,13,10,1,1,130.00,T20I # 1996
Argentina vs Bermuda,Terryn Fray,2,2,c Kirschbaum b Arrighi,2,8,0,0,25.00,T20I # 1996
Argentina vs Bermuda,Tre Manders,3,2,c S Rossi b Husain,14,17,1,0,82.35,T20I # 1996
Argentina vs Bermuda,Delray Rawlins,4,2,c S Rossi b Kirschbaum,16,22,2,0,72.72,T20I # 1996
Argentina vs Bermuda,Malachi Jones,5,2,not out ,19,27,0,0,70.37,T20I # 1996
Argentina vs Bermuda,Justin Pitcher,6,2,not out ,4,11,0,0,36.36,T20I # 1996
Bermuda vs Argentina,Kamau Leverock,1,1,c Musiani b Arrighi,97,56,12,4,173.21,T20I # 1997
Bermuda vs Argentina,Tre Manders,2,1,c Arrighi b Rossi,19,19,0,1,100.00,T20I # 1997
Bermuda vs Argentina,Terryn Fray,3,1,lbw b Rossi,2,4,0,0,50.00,T20I # 1997
Bermuda vs Argentina,Delray Rawlins,4,1, b Arrighi,91,33,6,9,275.75,T20I # 1997
Bermuda vs Argentina,Malachi Jones,5,1,not out ,7,4,0,0,175.00,T20I # 1997
Bermuda vs Argentina,Justin Pitcher,6,1,not out ,1,4,0,0,25.00,T20I # 1997
Bermuda vs Argentina,Pedro Baron,1,2,c & b Rawlins,57,68,8,0,83.82,T20I # 1997
Bermuda vs Argentina,Ramiro Escobar,2,2, b Leverock,1,7,0,0,14.28,T20I # 1997
Bermuda vs Argentina,Alejandro Ferguson,3,2,c Rawlins b Brangman,26,22,4,0,118.18,T20I # 1997
Bermuda vs Argentina,Lautaro Musiani,4,2, b Leverock,6,9,0,0,66.66,T20I # 1997
Bermuda vs Argentina,Alan	Kirschbaum,5,2,c Albertze b Rawlins,14,14,2,0,100.00,T20I # 1997
Bermuda vs Argentina,David Mauro,6,2,not out ,0,1,0,0,0.00,T20I # 1997
Spain vs Isle of Man,Mohammad Ihsan,1,1,not out ,102,59,9,6,172.88,T20I # 1998
Spain vs Isle of Man,Mohammad Yasin,2,1, b JA Burrows,14,10,3,0,140.00,T20I # 1998
Spain vs Isle of Man,Ravi Panchal,3,1,retired hurt ,25,38,0,0,65.78,T20I # 1998
Spain vs Isle of Man,Doyle-Calle,4,1,c McAuley b JA Burrows,20,10,0,2,200.00,T20I # 1998
Spain vs Isle of Man,Mohammad Kamran,5,1,c Butler b JA Burrows,1,4,0,0,25.00,T20I # 1998
Spain vs Isle of Man,Christian Munoz-Mills,6,1,not out ,1,1,0,0,100.00,T20I # 1998
Spain vs Isle of Man,Adam McAuley,1,2,c Munoz-Mills b Rumistrzewicz,30,33,3,0,90.90,T20I # 1998
Spain vs Isle of Man,Nathan Knights,2,2,lbw b Atif Mehmood,13,13,1,1,100.00,T20I # 1998
Spain vs Isle of Man,George Burrows,3,2,c †Awais Ahmed b Doyle-Calle,8,18,0,0,44.44,T20I # 1998
Spain vs Isle of Man,Carl Hartmann,4,2, b Ameer Hamzah,0,2,0,0,0.00,T20I # 1998
Spain vs Isle of Man,Edward Beard,5,2,c Ameer Hamzah b Doyle-Calle,0,4,0,0,0.00,T20I # 1998
Spain vs Isle of Man,Dollin Jansen,6,2,run out (Munoz-Mills),23,19,1,1,121.05,T20I # 1998
Spain vs Isle of Man,Joseph Burrows,7,2,run out (Doyle-Calle),6,4,1,0,150.00,T20I # 1998
Spain vs Isle of Man,Matthew Ansell,8,2,c †Awais Ahmed b Ameer Hamzah,0,2,0,0,0.00,T20I # 1998
Spain vs Isle of Man,Jacob Butler,9,2,st †Awais Ahmed b Rumistrzewicz,1,4,0,0,25.00,T20I # 1998
Spain vs Isle of Man,Fraser Clarke,10,2,not out ,0,4,0,0,0.00,T20I # 1998
Spain vs Isle of Man,Kieran Cawte,11,2,c Atif Mehmood b Shafat Ali Syed,0,1,0,0,0.00,T20I # 1998
Spain vs Isle of Man,Mohammad Yasin,1,1,c Jansen b Clarke,28,29,2,1,96.55,T20I # 1999
Spain vs Isle of Man,Mohammad Ihsan,2,1,c G Burrows b Butler,34,18,4,2,188.88,T20I # 1999
Spain vs Isle of Man,Adam Algar,3,1,c JA Burrows b Butler,28,30,1,1,93.33,T20I # 1999
Spain vs Isle of Man,Doyle-Calle,4,1,not out ,39,19,2,3,205.26,T20I # 1999
Spain vs Isle of Man,Mohammad Kamran,5,1,not out ,6,5,0,0,120.00,T20I # 1999
Isle of Man vs Spain,Adam McAuley,1,1,c Munoz-Mills b Rumistrzewicz,29,31,3,0,93.54,T20I # 2000
Isle of Man vs Spain,Nathan Knights,2,1,c Rumistrzewicz b Atif Mehmood,1,11,0,0,9.09,T20I # 2000
Isle of Man vs Spain,Dollin Jansen,3,1,c Mohammad Kamran b Burns,13,19,2,0,68.42,T20I # 2000
Isle of Man vs Spain,Carl Hartmann,4,1,c Munoz-Mills b Rumistrzewicz,4,4,1,0,100.00,T20I # 2000
Isle of Man vs Spain,Edward Beard,5,1,lbw b Burns,2,3,0,0,66.66,T20I # 2000
Isle of Man vs Spain,Christian Webster,6,1, b Rumistrzewicz,0,1,0,0,0.00,T20I # 2000
Isle of Man vs Spain,Joseph Burrows,7,1,c Rumistrzewicz b Ameer Hamzah,2,3,0,0,66.66,T20I # 2000
Isle of Man vs Spain,Matthew Ansell,8,1,c Doyle-Calle b Burns,1,4,0,0,25.00,T20I # 2000
Isle of Man vs Spain,Jacob Butler,9,1, b Rumistrzewicz,3,5,0,0,60.00,T20I # 2000
Isle of Man vs Spain,Fraser Clarke,10,1, b Mohammad Kamran,3,5,0,0,60.00,T20I # 2000
Isle of Man vs Spain,Edward Walker,11,1,not out ,0,5,0,0,0.00,T20I # 2000
Isle of Man vs Spain,Mohammad Ihsan,1,2,c Butler b Burrows,28,14,4,2,200.00,T20I # 2000
